id,major,number,title,SBC,cmp,section,credit,date,startTime,endTime,instructor
96221,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T94,3,APPT,1:00 AM,1:00 AM,Woon-Oh Jung
96222,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T95,3,APPT,1:00 AM,1:00 AM,Seungwook Kim
96223,BUS,475,Undergrad Teachng Practicum I,EXP+,TUT,T96,3,APPT,1:00 AM,1:00 AM,Young-Won Ha
95997,BUS,488,Internship,EXP+,TUT,T90,0 to 3,APPT,1:00 AM,1:00 AM,Jeehong Kim
95949,CSE,101,Computer Science Principles,TECH,LEC,90,3,TUTH,5:00 PM,6:20 PM,Alexander Kuhn
95950,CSE,101,Computer Science Principles,TECH,LAB,L90,3,M,12:30 PM,1:50 PM,Alexander Kuhn
95952,CSE,114,Introduction to Object-Oriented Programming,TECH,LEC,90,4,MW,2:00 PM,3:20 PM,Antonino Mione
95953,CSE,114,Introduction to Object-Oriented Programming,TECH,LAB,L90,4,TUTH,2:00 PM,3:20 PM,Antonino Mione
95954,CSE,214,Data Structures,,LEC,90,4,TUTH,2:00 PM,3:20 PM,Byungkon Kang
95955,CSE,214,Data Structures,,REC,R90,4,W,2:00 PM,2:55 PM,Byungkon Kang
95956,CSE,215,Foundations of Computer Science,,LEC,90,4,TUTH,12:30 PM,1:50 PM,Chi Him Wong
95957,CSE,215,Foundations of Computer Science,,REC,R90,4,TH,9:00 AM,9:55 AM,Chi Him Wong
96123,CSE,216,Programming Abstractions,,LEC,90,4,TUTH,2:00 PM,3:20 PM,Arthur Lee
96124,CSE,216,Programming Abstractions,,REC,R90,4,W,2:00 PM,2:55 PM,Arthur Lee
95958,CSE,220,Systems Fundamentals I,,LEC,90,4,TUTH,10:30 AM,11:50 AM,AMOS OMONDI
95959,CSE,220,Systems Fundamentals I,,REC,R90,4,M,12:30 PM,1:25 PM,AMOS OMONDI
96051,CSE,300,Technical Communications,"SPK, WRTD",LEC,90,3,MW,3:30 PM,4:50 PM,AMOS OMONDI
96099,CSE,303,Introduction to the Theory of Computation,,LEC,90,3,TUTH,3:30 PM,4:50 PM,Chi Him Wong
96170,CSE,304,Compiler Design,,LEC,90,3,TUTH,10:30 AM,11:50 AM,Antonino Mione
96171,CSE,306,Operating Systems,"Partially fulfils: ESI, EXP+, SBS+, STEM+",LEC,90,3,TUTH,5:00 PM,6:20 PM,YoungMin Kwon
95993,CSE,310,Computer Networks,,LEC,90,3,MW,10:30 AM,11:50 AM,Jihoon Ryoo
96126,CSE,316,Fundamentals of Software Development,"Partially fulfils: ESI, EXP+, SBS+, STEM+",LEC,90,3,MW,5:00 PM,6:20 PM,Alexander Kuhn
96096,CSE,320,Systems Fundamentals II,,LEC,90,3,TUTH,12:30 PM,1:50 PM,YoungMin Kwon
96018,CSE,352,Artificial Intelligence,,LEC,90,3,MW,2:00 PM,3:20 PM,Seung Soo Park
96127,CSE,353,Machine Learning,,LEC,90,3,MW,9:00 AM,10:20 AM,Byungkon Kang
95960,CSE,373,Analysis of Algorithms,,LEC,90,3,TUTH,2:00 PM,3:20 PM,Jihoon Ryoo
96125,CSE,416,Software Engineering,"Partially fulfils: ESI, EXP+, SBS+, STEM+",LEC,90,3,TUTH,2:00 PM,3:20 PM,Alexander Kuhn
95994,CSE,475,Undergraduate Teaching Practicum,EXP+,TUT,T90,3,APPT,1:00 AM,1:00 AM,Arthur Lee
96092,CSE,475,Undergraduate Teaching Practicum,EXP+,TUT,T91,3,APPT,1:00 AM,1:00 AM,Antonino Mione
96093,CSE,475,Undergraduate Teaching Practicum,EXP+,TUT,T92,3,APPT,1:00 AM,1:00 AM,Alexander Kuhn
96102,CSE,475,Undergraduate Teaching Practicum,EXP+,TUT,T93,3,APPT,1:00 AM,1:00 AM,YoungMin Kwon
